"uu","vv"
-0.865,-0.24
-0.865,-0.22
-0.865,-0.2
-0.865,-0.18
-0.865,-0.16
-0.865,-0.14
-0.865,-0.12
-0.865,-0.1
-0.865,-0.08
-0.865,-0.0599999999999999
-0.865,-0.04
-0.865,-0.02
-0.865,0
-0.865,0.02
-0.865,0.04
-0.865,0.06
-0.865,0.0800000000000001
-0.865,0.1
-0.865,0.12
-0.865,0.14
-0.865,0.16
-0.865,0.18
-0.865,0.2
-0.865,0.22
-0.865,0.24
-0.82,-0.36
-0.82,-0.34
-0.82,-0.32
-0.82,-0.3
-0.82,-0.28
-0.82,-0.26
-0.82,-0.24
-0.82,-0.22
-0.82,-0.2
-0.82,-0.18
-0.82,-0.16
-0.82,-0.14
-0.82,-0.12
-0.82,-0.1
-0.82,-0.08
-0.82,-0.0599999999999999
-0.82,-0.04
-0.82,-0.02
-0.82,0
-0.82,0.02
-0.82,0.04
-0.82,0.06
-0.82,0.0800000000000001
-0.82,0.1
-0.82,0.12
-0.82,0.14
-0.82,0.16
-0.82,0.18
-0.82,0.2
-0.82,0.22
-0.82,0.24
-0.82,0.26
-0.82,0.28
-0.82,0.3
-0.82,0.32
-0.82,0.34
-0.82,0.36
-0.775,-0.44
-0.775,-0.42
-0.775,-0.4
-0.775,-0.38
-0.775,-0.36
-0.775,-0.34
-0.775,-0.32
-0.775,-0.3
-0.775,-0.28
-0.775,-0.26
-0.775,-0.24
-0.775,-0.22
-0.775,-0.2
-0.775,-0.18
-0.775,-0.16
-0.775,-0.14
-0.775,-0.12
-0.775,-0.1
-0.775,-0.08
-0.775,-0.0599999999999999
-0.775,-0.04
-0.775,-0.02
-0.775,0
-0.775,0.02
-0.775,0.04
-0.775,0.06
-0.775,0.0800000000000001
-0.775,0.1
-0.775,0.12
-0.775,0.14
-0.775,0.16
-0.775,0.18
-0.775,0.2
-0.775,0.22
-0.775,0.24
-0.775,0.26
-0.775,0.28
-0.775,0.3
-0.775,0.32
-0.775,0.34
-0.775,0.36
-0.775,0.38
-0.775,0.4
-0.775,0.42
-0.775,0.44
-0.73,-0.52
-0.73,-0.5
-0.73,-0.48
-0.73,-0.46
-0.73,-0.44
-0.73,-0.42
-0.73,-0.4
-0.73,-0.38
-0.73,-0.36
-0.73,-0.34
-0.73,-0.32
-0.73,-0.3
-0.73,-0.28
-0.73,-0.26
-0.73,-0.24
-0.73,-0.22
-0.73,-0.2
-0.73,-0.18
-0.73,-0.16
-0.73,-0.14
-0.73,-0.12
-0.73,-0.1
-0.73,-0.08
-0.73,-0.0599999999999999
-0.73,-0.04
-0.73,-0.02
-0.73,0
-0.73,0.02
-0.73,0.04
-0.73,0.06
-0.73,0.0800000000000001
-0.73,0.1
-0.73,0.12
-0.73,0.14
-0.73,0.16
-0.73,0.18
-0.73,0.2
-0.73,0.22
-0.73,0.24
-0.73,0.26
-0.73,0.28
-0.73,0.3
-0.73,0.32
-0.73,0.34
-0.73,0.36
-0.73,0.38
-0.73,0.4
-0.73,0.42
-0.73,0.44
-0.73,0.46
-0.73,0.48
-0.73,0.5
-0.73,0.52
-0.685,-0.58
-0.685,-0.56
-0.685,-0.54
-0.685,-0.52
-0.685,-0.5
-0.685,-0.48
-0.685,-0.46
-0.685,-0.44
-0.685,-0.42
-0.685,-0.4
-0.685,-0.38
-0.685,-0.36
-0.685,-0.34
-0.685,-0.32
-0.685,-0.3
-0.685,-0.28
-0.685,-0.26
-0.685,-0.24
-0.685,-0.22
-0.685,-0.2
-0.685,-0.18
-0.685,-0.16
-0.685,-0.14
-0.685,-0.12
-0.685,-0.1
-0.685,-0.08
-0.685,-0.0599999999999999
-0.685,-0.04
-0.685,-0.02
-0.685,0
-0.685,0.02
-0.685,0.04
-0.685,0.06
-0.685,0.0800000000000001
-0.685,0.1
-0.685,0.12
-0.685,0.14
-0.685,0.16
-0.685,0.18
-0.685,0.2
-0.685,0.22
-0.685,0.24
-0.685,0.26
-0.685,0.28
-0.685,0.3
-0.685,0.32
-0.685,0.34
-0.685,0.36
-0.685,0.38
-0.685,0.4
-0.685,0.42
-0.685,0.44
-0.685,0.46
-0.685,0.48
-0.685,0.5
-0.685,0.52
-0.685,0.54
-0.685,0.56
-0.685,0.58
-0.64,-0.62
-0.64,-0.6
-0.64,-0.58
-0.64,-0.56
-0.64,-0.54
-0.64,-0.52
-0.64,-0.5
-0.64,-0.48
-0.64,-0.46
-0.64,-0.44
-0.64,-0.42
-0.64,-0.4
-0.64,-0.38
-0.64,-0.36
-0.64,-0.34
-0.64,-0.32
-0.64,-0.3
-0.64,-0.28
-0.64,-0.26
-0.64,-0.24
-0.64,-0.22
-0.64,-0.2
-0.64,-0.18
-0.64,-0.16
-0.64,-0.14
-0.64,-0.12
-0.64,-0.1
-0.64,-0.08
-0.64,-0.0599999999999999
-0.64,-0.04
-0.64,-0.02
-0.64,0
-0.64,0.02
-0.64,0.04
-0.64,0.06
-0.64,0.0800000000000001
-0.64,0.1
-0.64,0.12
-0.64,0.14
-0.64,0.16
-0.64,0.18
-0.64,0.2
-0.64,0.22
-0.64,0.24
-0.64,0.26
-0.64,0.28
-0.64,0.3
-0.64,0.32
-0.64,0.34
-0.64,0.36
-0.64,0.38
-0.64,0.4
-0.64,0.42
-0.64,0.44
-0.64,0.46
-0.64,0.48
-0.64,0.5
-0.64,0.52
-0.64,0.54
-0.64,0.56
-0.64,0.58
-0.64,0.6
-0.64,0.62
-0.595,-0.66
-0.595,-0.64
-0.595,-0.62
-0.595,-0.6
-0.595,-0.58
-0.595,-0.56
-0.595,-0.54
-0.595,-0.52
-0.595,-0.5
-0.595,-0.48
-0.595,-0.46
-0.595,-0.44
-0.595,-0.42
-0.595,-0.4
-0.595,-0.38
-0.595,-0.36
-0.595,-0.34
-0.595,-0.32
-0.595,-0.3
-0.595,-0.28
-0.595,-0.26
-0.595,-0.24
-0.595,-0.22
-0.595,-0.2
-0.595,-0.18
-0.595,-0.16
-0.595,-0.14
-0.595,-0.12
-0.595,-0.1
-0.595,-0.08
-0.595,-0.0599999999999999
-0.595,-0.04
-0.595,-0.02
-0.595,0
-0.595,0.02
-0.595,0.04
-0.595,0.06
-0.595,0.0800000000000001
-0.595,0.1
-0.595,0.12
-0.595,0.14
-0.595,0.16
-0.595,0.18
-0.595,0.2
-0.595,0.22
